"site_id","date","watt_min","watt_max","watt_avg","watt_hours","watt_hours_expected","site","address","latitude","longitude","department","YearMonth"
3764455,2019-06-01,NA,14,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-02,NA,-4,-6,-151,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-03,NA,-5,-6,-153,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-04,NA,-4,-6,-151,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-05,NA,-4,-6,-150,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-06,NA,-4,-6,-151,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-07,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-08,NA,-5,-6,-151,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-09,NA,-5,-6,-153,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-10,NA,-5,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-11,NA,21,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-12,NA,-5,-6,-153,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-13,NA,-4,-6,-153,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-14,NA,-5,-6,-154,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-15,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-16,NA,21,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-17,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-18,NA,-5,-6,-151,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-19,NA,20,-6,-151,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-20,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-21,NA,-4,-6,-153,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-22,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-23,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-24,NA,-5,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-25,NA,-5,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-26,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
3764455,2019-06-27,NA,-4,-6,-152,NA,"Banneker","930 West 7th Street",39.168883,-86.545038,"Bloomington Parks & Rec","2019-06"
